name,description,date,views,comments
Как в 13 лет заработать на 3D-моделировании,"Семиклассник Михаил Кузнецов рассказывает, как заработал первые деньги после обучения в GeekSchool ",22 декабря 2023,52935,-1
"Как совмещать работу, семью и обучение ИТ","Наша студентка Анна Кашицина рассказывает, как успевать все на свете",06 декабря 2023,53839,6
"Закончить GeekSchool, чтобы помогать маме с бизнесом","Наша ученица Ксения Светлова рассказывает, что она узнала на курсе ""Графический дизайн""",24 ноября 2023,54364,5
"Маркетолог Gucci, курьер, аналитик ― карьера нашего студента",Наш бывший ученик Алексей Рудаков рассказывает историю своего профессионального роста,24 ноября 2023,52905,3
Как выступления помогают профессиональному развитию,"Преподаватель GeekBrains рассказывает, как впервые вышел на сцену форума ИТ-технологий ФИЧА",17 ноября 2023,55678,1
Как нейросети помогут в работе руководителю проектов,"Как мы сократили время на создание пользовательских инструкций в 2-3 раза

",01 ноября 2023,57388,3
Как создать и продать свой NFT,Простая и понятная инструкция,10 октября 2023,70708,3
Как из маркетинга уйти в продакт-менеджеры,"Выпускница GeekBrains Екатерина Тиханкина рассказывает, как не упереться в потолок в своей должности",03 октября 2023,657,0
Почему в каждой ИТ-вакансии требуется Docker ,"Docker ― это программа для разработки, доставки и запуска приложений, является представителем частного вида виртуализации ― контейнеризации.",02 октября 2023,61301,0
Как бросить нанотехнологии ради программирования роботов,"Выпускник GeekBrains Артем Стаценко рассказывает, будет ли восстание машин ",26 сентября 2023,659,0
Как наш ученик полгода писал игру про космос,"Смотрите, что у него получилось! ",21 сентября 2023,59618,2
Наш ученик написал мультфильм про восстание арбузов,"14-летний студент GeekSchool Григорий Бовин и его мама Анастасия рассказывают, что в кино не обойтись без ИТ",19 сентября 2023,59415,0
Зачем бросать руководящую должность и снова писать код,"Друзья бывшего студента GeekBrains Андрея Абаньшина не верят, что он начал зарабатывать в 2 раза больше",19 сентября 2023,714,0
Самоорганизация в команде ― миф или реальность,"Как это так ― команда сама решает, что ей делать",18 сентября 2023,59645,0
Из стажеров в руководители: опыт студента GeekBrains ,"Валентин Дюкре из компании Agima рассказывает, как прошел путь от стажера до руководителя проектного офиса",13 сентября 2023,59881,0
Как из полицейского стать универсальным ИТ-солдатом,"Выпускница GeekBrains Ольга Андреева рассказывает, как из лейтенанта полиции переквалифицировалась в SMM",12 сентября 2023,63594,0
Как управлять айтишниками?,Зачем придумали гибкие методологии,11 сентября 2023,58516,0
Зачем нужен менеджер в онлайн-образовании ,Он играет ключевую роль в организации и координации образовательных процессов,05 сентября 2023,60408,0
Как за 2 года стать сеньором и в 4 раза увеличить зарплату,"Выпускница GeekBrains Яна Есакова рассказывает, как дизайнер может улучшить опыт миллионов покупателей маркетплейса",05 сентября 2023,759,0
Как пересесть с коня на Backend,Студентка GeekBrains Ксения Локтева рассказывает о пути из конного спорта в разработчики,29 августа 2023,537,0
Как начать продавать на маркетплейсах,И какой нужен бюджет ,28 августа 2023,62423,0
"Как стать тестировщиком, лежа на больничной койке","Выпускник GeekBrains Алексей Дубовский рассказывает, как после аварии нашел в себе силы переучиться на тестировщика",23 августа 2023,530,0
Как выработать привычку не тратить все заработанные деньги,И начать откладывать,21 августа 2023,69887,1
Как устроены компьютерные вирусы,Рассказывает эксперт по компьютерной безопасности,16 августа 2023,75848,0
Как получить предложение работать в Apple,"Разработчик Андрей Володин рассказывает, как выиграть конкурс программистов WWDC Scholarship",15 августа 2023,77535,1
Как стать миллионером в 14 лет и потерять все в 20,"История Ильи Попова, соавтора «Смешариков», в новом формате GeekSpeak, эксклюзивно для VK",04 августа 2023,78745,1
Куда инвестору деть первый миллион прибыли,"Венчурный аналитик рассказывает, как приумножить заработанное на стартапах ",31 июля 2023,80145,1
Как от дизайна листовок перейти к проектам для космоса,"Выпускник GeekBrains Евгений Буймов рассказывает, как из управляющего пивной стал fullstack-дизайнером",04 июля 2023,570,0
Как 12-летняя выиграла у студентов олимпиаду по разработке,"Анастасия Коленько и ее мама Светлана рассказывают, как после обучения в GeekSchool начать делать игры и побеждать опытных соперников",06 июня 2023,386,0
Как из парковщика стать программистом для АЭС,"Рассказывает Николай Нагорный, бывший студент, а теперь преподаватель GeekBrains",05 июня 2023,385,0
Как за 10 минут обновить программу у миллионов пользователей,DevOps британского финтех-стартапа рассказывает о своей профессии и зачем он нужен ИТ-компаниям ,10 апреля 2023,36779,1
"Как сделать стартап, который купит Яндекс","Максим Суркиз рассказывает, как забота о клиентах помогает победить в конкуренции ",07 апреля 2023,28065,0
Как Apple своровала у Google и ничего ей за это не было ,"Руководитель направления Mobile в ВТБ рассказывает про то, как великие художники воруют идеи",06 апреля 2023,34329,0
«Первую работу я нашла уже на втором месяце обучения в GB» ,"Рассказывает Катерина Лычак, 38 лет.  Факультет интернет-маркетинга.",31 марта 2023,398,0
Итоги весеннего конкурса лучших проектов ,"GeekBrains подводит итоги конкурса на лучшие ИТ-проекты, стартовавшего 1 марта",31 марта 2023,33263,0
Как математика предсказывает торнадо,"Доктор математических наук рассказывает, как придумал алгоритм предсказаний природных катаклизмов   
",24 марта 2023,31734,2
Как мастеру по ресницам стать дизайнером,"Руководитель дизайн-бюро рассказывает, кто может получить профессию дизайнера",23 марта 2023,32125,1
Как астрономия связана с программированием,"Астрофизик Анастасия Топчиева рассказывает, на каком языке программируют космические исследователи
",22 марта 2023,28372,0
Конкурс ИТ-проектов от GeekBrains,"Выиграйте стажировки, карьерные консультации и скидки от наших партнеров ",09 марта 2023,29234,0
Как устроен современный мир дизайна,"Эксперт рассказывает о том, как попасть в эту сферу и развиваться в ней",29 декабря 2022,27143,2
Тенденции развития метавселенных ,Как создается децентрализованное государство,26 декабря 2022,26482,0
Как обработать миллион заказов в день,Рассказывает технический директор «Детского мира» ,22 декабря 2022,30427,0
Как компьютеры учатся понимать человеческий язык,Они превращают слова в векторы и делают поправку на контекст,21 декабря 2022,25065,0
Зачем выкатывать обновления каждый день,"Эксперт рассказывает, какие тренды сейчас актуальны в разработке продуктов",20 декабря 2022,27237,0
Игра как тренажер предпринимательского мышления,"Основатель «Мосигры» Дмитрий Кибкало рассказал, почему нужно играть в игры на самом высоком уровне сложности ",15 декабря 2022,21716,1
Что такое квантовые компьютеры,Рассказывает ученый,15 декабря 2022,24672,2
Зачем нужен мета-риэлтор и мета-секьюрити ,"Создатель сервиса услуг в метавселенных рассказывает, как будет развиваться новый децентрализованный интернет",12 декабря 2022,15005,0
Как санкции помогли создать свою систему распознавания лиц,Российская компания за год написала свою систему биометрии,09 декабря 2022,26450,3
Как компьютер помог предотвратить ядерную войну,"Советские ученые рассчитали, что бомбить США будет невыгодно ",08 декабря 2022,25262,0
Более 5000 человек получат цифровую профессию в GeekBrains,По некоторым профессиям конкурс составил 18 человек на место,25 ноября 2022,16493,0
Как предсказать убеждения людей по подпискам в соцсетях,"Ученый рассказывает, как алгоритмы могут узнать ваше мнение по любому вопросу",21 ноября 2022,20160,0
Как создать конкурента картам Google,"Создатель сервиса 2GIS рассказывает, как масштабировал бизнес из Новосибирска по всему миру ",15 ноября 2022,22856,0
Как StarCraft стал основой для математического открытия,"Ученый опубликовал статью в научном журнале, чтобы доказать друзьям, как правильно играть",07 ноября 2022,14473,0
От шутера в стиле 80-х до ПО для нефтегазовых месторождений,Подводим итоги конкурса лучших проектов ,01 ноября 2022,17345,2
Исследование: люди стали чаще учить ИТ и английский, Как изменились потребности в дополнительном образовании за год,24 октября 2022,11047,0
Мы ждем вашу работу на конкурс лучших ИТ-проектов!,"Выигрывайте стажировку, карьерную консультацию и скидки на товары и услуги",10 октября 2022,6341,0
Куда мигрируют айтишники,"Бизнесмен Вазген Егиазарян рассказывает, какую страну выбрать для релокации",04 октября 2022,10636,10
Как получить предложение работать в Apple,"Разработчик Андрей Володин рассказывает, как выиграть конкурс программистов WWDC Scholarship ",30 сентября 2022,6820,0
Почему обучение должно быть жестким,"Сергей Градировский рассказывает, почему учитель не должен жалеть учеников",21 сентября 2022,2804,0
Природные способности или упорство?,"Профессор Фарит Авхадиев рассказывает, как умение учиться зависит от генов",20 сентября 2022,2319,0
"Сайт-билдер ― айтишник, который не пишет код","Основатель компании Attico рассказывает, почему в ИТ-сфере можно не уметь писать код",15 сентября 2022,16170,2
Что такое метанавыки и как их развивать?,+ упражнение ,14 сентября 2022,15478,1
Блоки CSS: принципы верстки современных сайтов,Благодаря внедрению стандартов CSS время верстки сайта сократилось в несколько раз,13 сентября 2022,10180,0
Когда в Узбекистане будет 1 млн айтишников,"Бизнесмен Акмаль Пайзиев рассказывает, как в стране развивается ИТ-сфера",12 сентября 2022,15982,0
Какие технологии изменят мир в следующие 10 лет,"Гендиректор Delivery Club Донмез Гюванч рассказывает, каким он видит мир будущего",09 сентября 2022,16380,0
Что такое бэклог,Для чего нужен и как вести ,07 сентября 2022,8828,0
Как научить ИИ ставить диагнозы пациентам,"Эксперт по внедрению информационных систем Дмитрий Мугенов рассказывает, как его команда сделала то, что еще не удавалось никому в мире
",07 сентября 2022,13410,2
Концепции маркетинга,Классические и современные,06 сентября 2022,14820,0
Развитие логического мышления,Преимущества и лучшие упражнения,06 сентября 2022,13705,0
Когда роботы заменят таксистов,"Директор по цифровой трансформации компании Hyundai Алексей Гурин прогнозирует, как автомобильная отрасль изменится в ближайшие 10 лет",29 августа 2022,14691,0
Как скрестить Agile и госуправление,"Руководитель продукта ЕМИАС.инфо Антон Горбань рассказывает, как создать что-то новое на стыке разных подходов к управлению",24 августа 2022,15157,0
Как защищать данные бионических чипов,"Эксперт в кибербезопасности рассказывает, как устроена защита данных сейчас, и как изменится отрасль через 10 лет ",23 августа 2022,13846,0
Как управлять людьми при помощи математики и теории игр,"Ученый Николай Коргин рассказывает, возможно ли управлять людьми, как объектами",22 августа 2022,14256,1
Как привлечь инвестиции в стартап и самому стать инвестором,"Гендиректор OTM Виталий Герко о том, как привлек инвестиции в первый стартап и в какие проекты стоит инвестировать",19 августа 2022,13915,0
