,text,label
26017,"Although I'm not too much of a religious person, I still had relatively high hopes for this movie, as it does have the amazing Steve Carrell, and its prequel, Bruce Almighty, was actually a creative and clever Christian-themed comedy. However, Evan Almighty comes nowhere near this originality and freshness that the original has, and can't decide whether it's a comedy or a sentimental movie about faith and family values. If it had chosen one clear path of which of these themes to focus on, it could have lived up to its potential, but instead the result of mixing the two is a film that has a very flat and dry sense of humor, cheesy dialogue and motifs that attempt to give the movie profundity, but instead practically insults the intelligence of the audience, and also a very confused and clouded presentation of the movie's opaque message. It was very obvious that Evan Almighty was very poorly written, there are numerous plot holes and elements in the movie that make absolutely no sense. For example, although a large variety of exotic animals from all over the planet swarm to Evan as he builds the ark for their salvation from the flood, is their inclusion really necessary when the only ""flood"" that happens in the movie is downtown Washington D.C. and a suburban neighborhood, meaning they are at no risk of being wiped out? The filmmakers it seems lacked the originality to modernize the Bible story whatsoever, and instead just had it take place in a present time without changing anything to the plot, leaving many elements that just don't add up such as this and make it obvious of the idiotic motifs and writing within the movie. Overall, this work is tragic in that the acting talent of Steve Carrell and Wanda Sykes isn't exhibited because of the bland characters they portray, and that it was so poorly written that it skews and clouts many of the film's attempted themes, and makes a mockery of the first film. Finally, Evan Almighty also is an insult to the brilliant actors in it and any halfway-intelligent moviegoer, in that it fails both of them miserably.",0
30426,"hello there; i would just like to say how much i enjoyed your review and comments about that excellent film 'intruder in the dust'. i believe that the points you made were insightful, intelligent and totally valid. it's also a shame that this film is hardly ever shown on TV these days and that it isn't available on DVD region 2 - i live in england. once again, many thanks for your review. the actor juano hernandez was in another brilliant film, 'young man with a horn', which also starred kirk douglas and lauren bacall. that was a very evocative and stylish film with some superb music. i wish that someone with influence could release the entire back catalogues of films like 'johnny belinda', 'i remember mama', and 'the yearling' on DVD region 2, we love these movies in great Britain. i'm not of pensionable age, i'm still reasonably young and my family and i love classic films!!films like these were so beautifully made and they bring back wonderful memories. anyway...! many thanks for your comments!",1
16397,"/*may contain SPOILERS, but of course it does not matter :) */<br /><br />Battleship Potemkin is one stunning spectacle of haunting images. The visual direction is (well, and has been) inspiring, the sheer scale of the film is impressive, and the technique is certainly pioneering. What is really amazing is, to my mind, the depth and effectiveness of a film, devoid of proper literary script, sound (save the soundtrack), decent image quality, the faux-profound (self-)referentialism of today, exceptional acting, pretense, etc. What you get is a purely visual experience to be remembered.<br /><br />BTW, the previous poster noted: ""Eisenstien felt after a lot of suffering to give the heroes what they wanted. The problem is that you think Eisenstein is building up to a big final fight and then he tricks you. It's a little cheap. I would've rather seen a huge final action scene.""<br /><br />I must warn you, that the end is not cheap, and Eisenstein wasn't being generous to the heroes. History, however, was. Potemkin really did go through the squadron as it was shown in the film.<br /><br />Finally, I'd strongly recommend seeing Battleship Potemkin to anyone more or less seriously interested in cinema. See it with a fellow movie buff, it kept me talking for hours. However, if you tend to consider films, generally accepted as ""great"" or ""classic"", to be ""slow"" or ""boring"", this film might not be for you yet. Not much cheap entertainment here.<br /><br />For me though, it is a full 10/10.",1
34646,"I just can't believe that these games can get so much better, but they do. Unfortunately I had to rent a Dreamcast to play it, but even though I did beat it I can't wait to buy it for PS2. This is the only series of games that I must own all of them even if I have beaten them many times over. I hope they never stop making this type of game even if the series must come to an end.<br /><br />",1
38488,"Red Skelton (in his first starring role) plays Wally Benton who plays 'The Fox' on a radio show. He writes the murder mysteries and as 'The Fox' solves them. Joseph Jones (Conrad Veidt) is trying to figure out how to perform the perfect murder on someone. He kidnaps Benton, his girlfriend (Ann Rutherford) and another girlfriend (Virginia Grey). He tells Benton to write out the perfect murder...or his girlfriends get it...<br /><br />Very funny and enjoyable movie. Fast-moving (it's only 77 minutes), a good script and perfect casting really puts this across. Skelton is very good in his first starring role--very funny, fast, handsome and intelligent. Veidt is excellent as the evil Jones. Rutherford and Grey are lots of fun as Skelton's girlfriends. All three of them play off each other perfectly--their verbal sparring is the highlight of this pic. Also fun to see Eve Arden in a small role.<br /><br />Well worth your time.",1
32210,"Successful films on metaphysical subjects are rare, but Fata Morgana is a good case. You can chalk up the large subject to the ambitions of youth, but Herzog does an amazingly good job. The movie's point is to show human beings, and even the world, from a non-human point of view.<br /><br />The movie is in three parts: Creation, Paradise, and The Golden Age. The imagery of each is in counterpoint to the voice-over. Although the text of `The Creation' (from the Popol Vuh, a Mayan myth) refers to the primordial wasteland, the scene goes no further in illustrating the myth. It dwells on the waste, and on various specimens of destruction (fire, smoke, wrecked vehicles). The images from `Paradise' are anything but that, and `The Golden Age' is darkly comic  the highest culture is the strange roadside musical act.<br /><br />The Popol Vuh suggests that mankind is the central object of creation, but the movie does everything it can to undo this notion. Its mythological framework has no referent in human historical time. There are no human characters to speak of. When a boy stands with a dog in an extended shot, the initial suggestion is of the boy's point of view; by the end it is much more the dog's. Likewise the lizard is a stronger character than the human who introduces it, and the turtle's partner barely looks human with his big flippers.<br /><br />Animal stories and nature documentaries always anthropomorphize, but Fata Morgana has none of that. Certainly the dunes look like a female body, but the simile cuts both ways. Presumably only humans can distinguish easily between their creation and nature, and here airplanes and factories are presented alongside mountains, lakes, and waterfalls. People and civilization are all part of a broader natural landscape.<br /><br />In 1979 Herzog put a new twist on the idea when he remade Nosferatu from the vampire's point of view.",1
10293,"i really in enjoyed watching this movie. like most of the people that watched it. i wasn't sure that i was getting. Whoopi Goldberg is a very funny comedian and she has done a lot of funny movies; i.e. sister act.<br /><br />however this was not really comedy. it is a drama with comedic moments. so if your looking for a laugh riot then keep looking.<br /><br />this movie is about a black family moving up from a nice neighborhood in the city to an upper middle class neighborhood. i would say more but it think it would spoil the movie. this movie does not just deal with race relations between whites and blacks, but also about relations with in the black community. i do think that it is worth a chance. if your not really interested in see another movie about race relations then this movie isn't for you",1
19571,"I saw this short film on the dvd for Ridley Scott's film, The Duellists. There was no introduction by Scott before the film, it just started right up.<br /><br /> Boy and a Bicycle is hardly an example of Ridley Scott's other work, it bears no resemblance. The film shows a boy, played by Tony Scott, riding around on a bicycle. Guess what? That's pretty all that happens. The boy rides around, rambling on and on with pointless, confusing dialogue. The film was shot in black and white, and since it was directed by Ridley Scott, I expected some cool cinematography or visually-striking sets. Instead, I was treated with nothing. This film isn't even good for a first effort. However, I recommend that any fan of Ridley Scott should check it out at least once.",0
30795,"Being a Harrison Ford fan I am probably being kind. It was predictable, sappy...my husband made a lot of gagging sounds while we were watching it. What a disappointing movie. Our local newspaper (San Jose Mercury News) actually gave this 4 stars out of 4 stars!!! Hard to believe that the reviewer saw the same movie we did.",0
22824,"What ever happened to shows with united parental figures? The parents in this show are nearly as irresponsible as the children. Instead of punishing the youngest child for being manipulative, they let her get away with murder. They can't ever agree on a course of action when it comes to dealing with the children, and instead they do nothing. Yeah, great plan. Just ignore their behavior because they're ""cute."" This show tells the already manipulative preteens that watch it that the ""divide and conquer"" technique is the best way to get their parents to ""cave."" The oldest children are constantly running amok and getting themselves into all sorts of impossible situations, but there are no consequences for their actions. Yeah, great television all right.",0
20461,"How this film could be classified as Drama, I have no idea. If I were John Voight and Mary Steenburgen, I would be trying to erase this from my CV. It was as historically accurate as Xena and Hercules. Abraham and Moses got melded into Noah. Lot, Abraham's nephew, Lot, turns up thousands of years before he would have been born. Canaanites wandered the earth...really? What were the scriptwriters thinking? Was it just ignorance (""I remember something about Noah and animals, and Lot and Canaanites and all that stuff from Sunday School"") or were they trying to offend the maximum number of people on the planet as possible- from Christians, Jews and Muslims, to historians, archaeologists, geologists, psychologists, linguists ...as a matter of fact, did anyone not get offended? Anyone who had even a modicum of taste would have winced at this one!",0
26746,"Lorna Green(Janine Reynaud)is a performance artist for wealthy intellectuals at a local club. She falls prey to her fantasies as the promise of romantic interludes turn into murder as she kills those who believe that sex is on the horizon. It's quite possible that, through a form of hypnotic suggestion, someone(..a possible task master pulling her strings like a puppet)is guiding Lorna into killing those she comes across in secluded places just when it appears that love-making is about to begin. After the murders within her fantasies are committed, Lorna awakens bewildered, often clueless as to if what she was privy to within her dreams ever took place in reality.<br /><br />If someone asked me how to describe this particular work from Franco, I'd say it's elegant & difficult. By now, you've probably read other user comments befuddled by what this film is about, since a large portion of it takes place within the surreal atmosphere of a dream. Franco mentioned in an interview that he was heavily influenced by Godard early in his career, as far as film-making style, and so deciding to abandon a clear narrative structure in favor of trying to create a whole different type of viewing experience. And, as you read from the reaction of the user comments here..some like this decision, others find the style labouring, dull, and bewildering. I'll be the first to admit that the film is over my head, but even Franco himself, when quizzed by critics who watched ""Succubus"", admitted that he didn't even understand the film and he directed it! Some might say that ""Succubus"" was merely a precursor to his more admired work, ""Venus in Furs"", considered his masterwork by Franco-faithful, because it also adopts the surreal, dreamlike structure where the protagonist doesn't truly know whether he/she is experiencing something real or imagined. In a sense, like the protagonist, we are experiencing the same type of confusion..certainly, ""Succubus"" is unconventional film-making where we aren't given the keys to what is exactly going on. And, a great deal of the elusive dialogue doesn't help matters. ""Succubus"" is also populated by beatnik types and ""poet-speak"", Corman's film, ""A Bucket of Blood"" poked fun at. My personal favorite scene teases at a possible lesbian interlude between Lorna and a woman she meets at a posh party..quite a bizarre fantasy sequence where mannequins are used rather unusually. Great locations and jazz score..I liked this film myself, although I can understand why it does receive a negative reaction. Loved that one scene at the posh party with Lorna, a wee bit drunk, writhing on the floor in a gorgeous evening gown as others attending the shindig(..equally wasted)rush her in an embrace of kisses.",1
19367,"It's a bad season for Bollywood with all the big releases with a massive hype surrounding proving to be duds at the box office. London Dreams is no exception to that. Let's dissect it... It's all about chasing your dreams and how far will you go to achieve it. Sounds impressive right? But unfortunately the film is not.<br /><br />Arjun (Ajay Devgan) is an aspiring musician who wants to make it big someday. His dream is to perform in Wembley stadium in front of a cheering 90,000 audience calling out his name. He is joined by two brothers, Zoheb & Wasim (debutants Aditya Roy & Ranvijay) and a ravishing Priya (Asin). Together they form ""London Dreams"" their dream band. After impressing the chief of a record company, they become overnight sensations. Arjun is secretly in love with Priya which he doesn't want to reveal till he achieves his goal. Arjun then brings his childhood friend Manjit Khosla aka Mannu (Salman Khan), a carefree flirtatious guy who has got no ambitions in life, to join their band. Mannu is a trained musician and a real talent for whom later Arjun become envious for Mannu's superior skills and his affair with Priya. Arjun with the help of Zoheb plans to blight Mannu. What happens next forms the rest of the movies.<br /><br />Coming to the technical aspects, we feel only the shadow of Vipul Amritlal Sha whom we have admired in Namaste London. Felt like he simply visualized the screenplay. To cut it short, a glorified cameraman. Screenplay by Suresh Nair dulls even though it has its moments. Defined in a predictable fashion, the screenplay bore you to stiff. Camera work was awesome in capturing the beauty of London. It's the only entertaining part while watching songs.<br /><br />Few songs are hummable while others are passable noisy fare. Ajay was the one who stole the show with his negative character. Salman is monotonous and he irks you. Asin is forgettable and I don't that she will make it big in Bollywood. Aditya Roy is impressive while Ranvijay is strictly OK. Brinda as the bitch is what we have seen in innumerable movies. Ompuri is ongoing with the proceedings. I don't want to pen down about the flaws as it will be a herculean task.<br /><br />Finally let me put it simple and straight, London Dreams is a soulless movie which you may better enjoy on DVD.",0
